"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:02:41 GMT 2021","Sat Aug 21 16:02:49 GMT 2021","8082","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sat Aug 21 16:01:17 GMT 2021","Sat Aug 21 16:01:43 GMT 2021","25249","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"passed","Sat Aug 21 16:02:34 GMT 2021","Sat Aug 21 16:02:41 GMT 2021","6871","vizsgaremek","test_con_login","","","","test_con_login",""
"passed","Sat Aug 21 16:02:49 GMT 2021","Sat Aug 21 16:02:58 GMT 2021","9171","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sat Aug 21 16:02:25 GMT 2021","Sat Aug 21 16:02:34 GMT 2021","9057","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 16:01:43 GMT 2021","Sat Aug 21 16:02:19 GMT 2021","36281","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"broken","Sat Aug 21 16:03:15 GMT 2021","Sat Aug 21 16:03:17 GMT 2021","2666","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 16:02:19 GMT 2021","Sat Aug 21 16:02:25 GMT 2021","5935","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"passed","Sat Aug 21 16:02:58 GMT 2021","Sat Aug 21 16:03:15 GMT 2021","16544","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sat Aug 21 16:03:17 GMT 2021","Sat Aug 21 16:03:34 GMT 2021","16456","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
