"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 15:04:04 GMT 2021","Sat Aug 21 15:04:21 GMT 2021","16361","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"passed","Sat Aug 21 15:02:20 GMT 2021","Sat Aug 21 15:02:39 GMT 2021","19175","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"passed","Sat Aug 21 15:03:23 GMT 2021","Sat Aug 21 15:03:31 GMT 2021","7827","vizsgaremek","test_con_login","","","","test_con_login",""
"passed","Sat Aug 21 15:03:39 GMT 2021","Sat Aug 21 15:03:47 GMT 2021","7949","vizsgaremek","test_con_register","","","","test_con_register",""
"failed","Sat Aug 21 15:02:39 GMT 2021","Sat Aug 21 15:03:14 GMT 2021","35120","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 15:03:15 GMT 2021","Sat Aug 21 15:03:23 GMT 2021","8897","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 15:03:47 GMT 2021","Sat Aug 21 15:04:02 GMT 2021","14418","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"broken","Sat Aug 21 15:04:02 GMT 2021","Sat Aug 21 15:04:04 GMT 2021","2555","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 15:03:31 GMT 2021","Sat Aug 21 15:03:39 GMT 2021","8015","vizsgaremek","test_con_logout","","","","test_con_logout",""
