"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 06:04:42 GMT 2021","Sun Aug 22 06:04:48 GMT 2021","5999","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"passed","Sun Aug 22 06:04:57 GMT 2021","Sun Aug 22 06:05:05 GMT 2021","7912","vizsgaremek","test_con_login","","","","test_con_login",""
"passed","Sun Aug 22 06:05:46 GMT 2021","Sun Aug 22 06:06:03 GMT 2021","16603","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"passed","Sun Aug 22 06:05:38 GMT 2021","Sun Aug 22 06:05:46 GMT 2021","8108","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sun Aug 22 06:04:06 GMT 2021","Sun Aug 22 06:04:42 GMT 2021","36497","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sun Aug 22 06:05:14 GMT 2021","Sun Aug 22 06:05:22 GMT 2021","8043","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sun Aug 22 06:03:41 GMT 2021","Sun Aug 22 06:04:06 GMT 2021","24995","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"passed","Sun Aug 22 06:05:05 GMT 2021","Sun Aug 22 06:05:14 GMT 2021","8230","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sun Aug 22 06:04:48 GMT 2021","Sun Aug 22 06:04:57 GMT 2021","9115","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sun Aug 22 06:05:22 GMT 2021","Sun Aug 22 06:05:38 GMT 2021","16588","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
