"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 15:49:44 GMT 2021","Sat Aug 21 15:49:53 GMT 2021","9001","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 15:49:53 GMT 2021","Sat Aug 21 15:50:01 GMT 2021","7932","vizsgaremek","test_con_login","","","","test_con_login",""
"failed","Sat Aug 21 15:49:07 GMT 2021","Sat Aug 21 15:49:44 GMT 2021","36420","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 15:50:01 GMT 2021","Sat Aug 21 15:50:09 GMT 2021","8072","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sat Aug 21 15:50:09 GMT 2021","Sat Aug 21 15:50:17 GMT 2021","8106","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sat Aug 21 15:50:34 GMT 2021","Sat Aug 21 15:50:51 GMT 2021","16612","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"passed","Sat Aug 21 15:50:17 GMT 2021","Sat Aug 21 15:50:32 GMT 2021","14906","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sat Aug 21 15:48:41 GMT 2021","Sat Aug 21 15:49:07 GMT 2021","26102","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"broken","Sat Aug 21 15:50:32 GMT 2021","Sat Aug 21 15:50:34 GMT 2021","2651","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
