"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:19:46 GMT 2021","Sat Aug 21 16:19:54 GMT 2021","7875","vizsgaremek","test_con_login","","","","test_con_login",""
"passed","Sat Aug 21 16:20:30 GMT 2021","Sat Aug 21 16:20:47 GMT 2021","16478","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"passed","Sat Aug 21 16:19:37 GMT 2021","Sat Aug 21 16:19:46 GMT 2021","8937","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 16:19:30 GMT 2021","Sat Aug 21 16:19:37 GMT 2021","6943","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"passed","Sat Aug 21 16:18:28 GMT 2021","Sat Aug 21 16:18:54 GMT 2021","25941","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"broken","Sat Aug 21 16:20:28 GMT 2021","Sat Aug 21 16:20:30 GMT 2021","1661","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 16:20:02 GMT 2021","Sat Aug 21 16:20:11 GMT 2021","9007","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sat Aug 21 16:20:11 GMT 2021","Sat Aug 21 16:20:28 GMT 2021","17470","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sat Aug 21 16:18:54 GMT 2021","Sat Aug 21 16:19:30 GMT 2021","36352","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 16:19:54 GMT 2021","Sat Aug 21 16:20:02 GMT 2021","8061","vizsgaremek","test_con_logout","","","","test_con_logout",""
