"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 15:58:31 GMT 2021","Sat Aug 21 15:58:39 GMT 2021","7792","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sat Aug 21 15:58:39 GMT 2021","Sat Aug 21 15:58:48 GMT 2021","8850","vizsgaremek","test_con_register","","","","test_con_register",""
"broken","Sat Aug 21 15:59:02 GMT 2021","Sat Aug 21 15:59:04 GMT 2021","1484","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 15:59:04 GMT 2021","Sat Aug 21 15:59:20 GMT 2021","16164","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"passed","Sat Aug 21 15:58:16 GMT 2021","Sat Aug 21 15:58:25 GMT 2021","8750","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 15:58:25 GMT 2021","Sat Aug 21 15:58:31 GMT 2021","6691","vizsgaremek","test_con_login","","","","test_con_login",""
"failed","Sat Aug 21 15:57:40 GMT 2021","Sat Aug 21 15:58:16 GMT 2021","36078","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 15:58:48 GMT 2021","Sat Aug 21 15:59:02 GMT 2021","14255","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sat Aug 21 15:57:17 GMT 2021","Sat Aug 21 15:57:40 GMT 2021","22810","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
