"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:37:44 GMT 2021","Sat Aug 21 16:38:09 GMT 2021","25475","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"passed","Sat Aug 21 16:39:17 GMT 2021","Sat Aug 21 16:39:26 GMT 2021","9111","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sat Aug 21 16:39:01 GMT 2021","Sat Aug 21 16:39:09 GMT 2021","7906","vizsgaremek","test_con_login","","","","test_con_login",""
"broken","Sat Aug 21 16:39:43 GMT 2021","Sat Aug 21 16:39:46 GMT 2021","2645","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 16:39:46 GMT 2021","Sat Aug 21 16:40:03 GMT 2021","16535","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"failed","Sat Aug 21 16:38:09 GMT 2021","Sat Aug 21 16:38:45 GMT 2021","35360","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 16:38:45 GMT 2021","Sat Aug 21 16:38:52 GMT 2021","6977","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"passed","Sat Aug 21 16:39:09 GMT 2021","Sat Aug 21 16:39:17 GMT 2021","8063","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sat Aug 21 16:38:52 GMT 2021","Sat Aug 21 16:39:01 GMT 2021","8945","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 16:39:26 GMT 2021","Sat Aug 21 16:39:43 GMT 2021","17570","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
