"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:25:38 GMT 2021","Sat Aug 21 16:25:47 GMT 2021","8829","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 16:25:32 GMT 2021","Sat Aug 21 16:25:38 GMT 2021","5786","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"passed","Sat Aug 21 16:24:57 GMT 2021","Sat Aug 21 16:25:32 GMT 2021","35086","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 16:25:55 GMT 2021","Sat Aug 21 16:26:03 GMT 2021","7898","vizsgaremek","test_con_logout","","","","test_con_logout",""
"broken","Sat Aug 21 16:26:28 GMT 2021","Sat Aug 21 16:26:30 GMT 2021","2502","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 16:24:33 GMT 2021","Sat Aug 21 16:24:57 GMT 2021","24109","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"passed","Sat Aug 21 16:25:47 GMT 2021","Sat Aug 21 16:25:55 GMT 2021","7692","vizsgaremek","test_con_login","","","","test_con_login",""
"passed","Sat Aug 21 16:26:11 GMT 2021","Sat Aug 21 16:26:28 GMT 2021","16214","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sat Aug 21 16:26:03 GMT 2021","Sat Aug 21 16:26:11 GMT 2021","8828","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sat Aug 21 16:26:30 GMT 2021","Sat Aug 21 16:26:46 GMT 2021","16219","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
