"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 06:13:13 GMT 2021","Sun Aug 22 06:13:22 GMT 2021","8820","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sun Aug 22 06:12:56 GMT 2021","Sun Aug 22 06:13:13 GMT 2021","17016","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sun Aug 22 06:12:40 GMT 2021","Sun Aug 22 06:12:47 GMT 2021","7754","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sun Aug 22 06:11:18 GMT 2021","Sun Aug 22 06:11:41 GMT 2021","22583","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"failed","Sun Aug 22 06:11:41 GMT 2021","Sun Aug 22 06:12:16 GMT 2021","35838","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sun Aug 22 06:12:23 GMT 2021","Sun Aug 22 06:12:32 GMT 2021","8733","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sun Aug 22 06:12:16 GMT 2021","Sun Aug 22 06:12:23 GMT 2021","6680","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"passed","Sun Aug 22 06:12:47 GMT 2021","Sun Aug 22 06:12:56 GMT 2021","8838","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sun Aug 22 06:13:22 GMT 2021","Sun Aug 22 06:13:37 GMT 2021","15131","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
"passed","Sun Aug 22 06:12:32 GMT 2021","Sun Aug 22 06:12:40 GMT 2021","7619","vizsgaremek","test_con_login","","","","test_con_login",""
